,text,scores,user_flowers,fav_count,aspects
18,"@pwat_ Be careful though, I say in most cases because the second option is much harder. It’s much easier to become… https://t.co/w27QVJFcfM",2,765,1,"warming,environment,fossil"
19,“...in the middle of a national recession and global pandemic.”,2,39079,19,"global,warming,deal,coal"
20,"@morrismichaelj to me, it’s as useful a conversation as those we have regarding socialism’s global failures, seeing… https://t.co/Wr253flQUb",2,2036,5,"global,warming,deal,coal"
21,"@jamesdark44 @CP24 They’re a fucking news channel reporting about global coronavirus cases. Get over it, everyone k… https://t.co/jyohjxHB8r",1,216,0,"global,warming,deal,coal"
22,"@big_boris7 Thanks for entering Grand Summoners #yuyuhakusho #instantwin #sweepstakes 🎉

Watch the video to see if… https://t.co/QVSfileo06",3,36058,0,"fossil,environment,green"
23,"A long-deserved break from the rain, possibly through next weekend, with gradually warming temperatures… https://t.co/Gw363kGPDA",3,719,1,"global,warming,deal,coal"
24,"Australia is the only developed country that is a “deforestation hotspot” &amp; has no policies to tackle it

No polici… https://t.co/Ki1QtXPng5",1,52916,40,"global,warming,deal,coal"
25,#COVID19 has only worsened health disparities in environmental justice communities. Watch as I discuss the need to… https://t.co/FzPnsjtT9s,1,21960,37,"warming,environment,fossil"
26,Special S/O to all of our senior Blackhawk wrestlers &amp; team members who graduated today.  We’re so proud of you &amp; y… https://t.co/MYK5xXUKRj,3,232,5,"global,deal,coal"
27,When you require forever fat loss head to the subsequent site https://t.co/5SvKjVXjlB,2,47897,0,fossil
28,"Excess fat is probably detrimental regarding your physical condition, couple of the consequences referred to on thi… https://t.co/IiWnmJJ6KK",1,29901,0,environment
29,@ShyDeplorable @freitagusa Globalists have total disregard for Americans Government. They want a Single World gover… https://t.co/j7gBFM1i8r,1,527,0,"global,warming,deal,coal"
30,"In this forum, we will discuss the factual basis of the case, the global perception, and the implications and conse… https://t.co/t86QW3FEMI",2,3304354,13,"warming,global"
31,@GetroMone @ScottishJenbel @thisbebri @Woman4W @zaelefty No . They are female plants that can occasionally grow mal… https://t.co/OzvR3yfekc,2,22,0,"deal,coal"
32,You can actually look much more youthful with all of the following proper skills and dismiss fat stores https://t.co/AehLPg4jnq,3,42166,0,fuel
33,"Survive a global respiratory pandemic in 4 easy steps:

1.  Wear a mask.

2. Wash your hands.

3. Stay home.

4. St… https://t.co/yZSGrg5AYL",2,3912,126,"global,warming,deal,coal"
34,"""If you have an adversary, someone with an opposing point of view -- and it doesn't have to be about race, it could… https://t.co/ttn9oqihi1",1,30,0,coal
35,"Black power, global",2,528,0,global
36,@NightmareTheWol @MiraDaWulf @JaydenTheWolf @kaiihusky U must be in wonderland the world is never and will never ge… https://t.co/iONkaQ2ZYn,1,281,0,"fuel,warming"
37,Solar Orbiter: Europe's Sun mission makes first close pass -  https://t.co/l8yj4lXO3I via @'https://t.co/iszIXOlZV6',2,0,0,coal
38,“Withdrawing from the W.H.O. in the middle of a global pandemic is a terrible solution to those problems. https://t.co/1zoAYFm1gM,1,6708,0,"warming,global,deal,coal"
39,"#IAmAntifa 
A real view from #CHAZ 

Viva global #Solidarity https://t.co/JbQFOjvCIA",2,7052,0,"global,warming,deal,coal"
40,"Fuseworks + Truescope – WELLINGTON, Today: News tracking firm Fuseworks Media (bases in Wellington, Hawkes Bay &amp; Au… https://t.co/aUtZY58yr4",1,570,2,warming
41,"There’s a global pandemic and an uprising. Your partner is out walking the dog. You’ve just turned in your latest,… https://t.co/FU0dm5NCGn",2,199,8,"global,warming,deal,coal"
42,"Doing a #tradedeal in dollars might cost #Trump and #China politically.

Lower commodity prices and demand mean eve… https://t.co/DAMubfDrJm",2,1982,2,"global,warming,deal,coal"
43,Unhealthy Environment 😩,2,181,0,environment
44,AMA’s are 2-day events based on the number of questions we get &amp; time zones with our global followers 😂  Wrapping u… https://t.co/kCZlLg2Cfl,2,7172,5,"environment,global"
45,#np #stationID NeNe via Kingdom Of Bahran - #FreshRadio Global https://t.co/fjS6MdnNNv on #FreshRadio… https://t.co/tsbHmVqjPJ,2,3898,0,"global,environment"
46,"CHAZONIANS seemed to be sustained by fossil fuel energy, not green energy sources. Will @AOC condemn this practice? https://t.co/D6raSSsmJy",3,5212,230,"fossil,fuel,green"
47,Burning off body fat fairly quickly starts out with regaining some health condition employing the detail handed out… https://t.co/L6ZGg4EByA,1,59573,1,"environment,deal,coal"
48,Animals and  insects seem to be the safest living things on earth. Even though we kill and pollute their environmen… https://t.co/bbEXXAXxFy,3,266,0,environment
49,Hi @Twitter @TwitterSupport. I use Twitter for iPhone. I can’t find the “Global COVID-19 News” page at the top of m… https://t.co/cQHQtrCL6x,2,1517,0,"warming,environment,fossil,global"
50,All these years Bajans were calling for a delivery  service from Chefette and it took a global pandemic for them to… https://t.co/hZep1z3eai,3,36,0,"global,warming,deal,coal"
51,@GordonGChang Good! If Samsung runs to China and hug the CCP tightly while the other hi tech companies are retreati… https://t.co/z4OJAYAW65,3,188,0,"environment,warming,green"
52,@MCAnimalCare    It is flat out wrong to do away with P3.  The small dogs need that separate environment.  I have a… https://t.co/xoQh88DrD0,1,21,0,"environment,warming,fossil"
53,"Look forward to tomorrow’s convo on Race &amp; Justice w @WhipClyburn @repcleaver @RepSewell, @RepBarbaraLee tomorrow a… https://t.co/nRLk25uaBJ",2,32623,1,"environment,warming"
54,"Sure. Sure. There's still a global pandemic on, but go ahead and have a fucking baby shower.",2,236,3,"global,warming,deal,coal"
55,"@KATUNews Big deal.  If antimalarials were not suppressed, there would have been almost no deaths.   Your failure t… https://t.co/effIM5HaIV",2,70,1,deal
56,@earringdealer @c4rysb did the looting and destruction bring the protests into global spotlight? yes. were these bu… https://t.co/OGj8vOfF6U,2,216,2,"deal,global"
57,"Here’s your chance to win⭐️ big⭐️
🚨PARTICIPANTS IN LIBERIA ONLY🚨
     Like our page =&gt; ADD your friends =&gt; message… https://t.co/qZ1kFpfGcb",1,5,1,warming
58,@NASCAR Many years ago I attended events at Charlotte raceway where NASCAR  reached out to local black businesses.… https://t.co/UU85KKqj31,1,7513,0,"warming,environment,fossil"
59,"Turkey ranked 150th among 163 countries in the Global Peace Index 2020, followed by North Korea. Turkey remains the… https://t.co/ro5yt47ZW7",3,3,0,"warming,global"
60,And for those curious about how much impact exactly ratings and reviews have on your global visibility right now (i… https://t.co/3fktRGdFqK,2,12140,21,"environment,global"
61,Why am I genuinely getting upset over the fact that I feel judged because I try to encourage people to stay safe in… https://t.co/YruOvXv3FY,3,144,14,"warming,environment,fossil"
62,"@getwired I am all fine Trump and Breshnev never met each other. Otherwise we wouldn't discuss corona, rascism and global warming nowadays.",3,239,0,"warming,environment,fossil,global"
63,@sophbarryxx No one should go to an illegal rave during a global pandemic either 🥱,1,77,7,"global,warming,deal,coal"
64,this a hostile environment I’m going to hr,2,106,0,"global,warming,deal,coal,environment"
65,All I'm understanding from global history is that straight guys wage war because they are horny for each other,1,22,0,"global,warming"
66,My goal is to give you an idea of the underground methods to heal ones healthy lifestyle briskly https://t.co/hD0rVySR2m,2,24088,0,deal
67,"🍽8.8|Food👣9|Service🏢8.7|Environment⁣
⁣
DBL CHILI CHEESE BURGER⁣
💵 $4.65⁣

#eatsfact ™ Original Tommy's World Famous… https://t.co/UWHXyFyuMz",2,434,0,environment
68,@DamianGreen An elected bureaucrat wanting to close down freedom of thought comes as no surprise. The authoritarian… https://t.co/vSEyeSYJFm,3,335,3,green
69,I spoke with @NBCNews about the UN’s independent expert report that calls for all nations to ban conversion therapy… https://t.co/4rrMTeBio7,1,17222,66,"warming,environment,fossil"
70,China’s tariffs on Australian barley sees a reshaping of the global market but it may also haunt Chinese brewers in… https://t.co/q3bG2to4ky,2,2148,1,"environment,global,warming,deal,coal"
71,@btschartdata “the largest global audience ever for a paid virtual concert” that’s so sexc,2,478,0,"global,warming,deal,coal"
72,@Secreta52822631 @GovLarryHogan Why y’all so butt hurt about having to wear a damn mask? This is a global pandemic… https://t.co/yNaD5L7pdg,1,21,0,"global,warming,deal,coal"
73,"@DustyRoseYYC @CBCNews @CTVNews @globalnews I am an expert on news
Question to me "" is CTV CBC or Global considered… https://t.co/8hIMbwrzqp",2,357,0,"global,warming,environment,fossil"
74,"@RobletoFire there there's this bit

https://t.co/MbKDBdgLBD'

which describes dark money influence by fossil fuel… https://t.co/Kc6IsuWnWI",2,3487,0,"fossil,fuel"
75,The Coming Global Food Shortage (Part Two: A Perfect Storm) https://t.co/RQPcVMBXvB via @YouTube part 2,2,27,0,"global,warming,deal,coal"
76,"@AliRami07341418 @jayesszee1 https://t.co/oPjUADvcAp

They follow the guidelines for Agenda 2030...",2,154,0,deal
77,Also as a full-time Goro-boy I'm uncomfortable rn with how he acts now that the masquerade is broken but I'm open to warming up to it,1,25,0,"global,warming,deal,coal"
78,@ryancoltlevy I know maybe you’re in an unannounced anime adaptation of Scorcher 4 Global Meltdown https://t.co/dBAuDtP0BX,3,188,2,"warming,environment,fossil,global"
79,#Yemen is experiencing the worst humanitarian crisis in the world right now. It’s time to stop the flow of weapons… https://t.co/CZW6B0ejNh,3,424,0,warming
80,Women reading the heart warming story about  #PatrickHutchinson &amp; his friends thinking:,2,53,1,warming
81,"@legalNeet Thanks for entering Grand Summoners #yuyuhakusho #instantwin #sweepstakes 🎉

Watch the video to see if y… https://t.co/PwrvVJ7xFr",3,36058,0,deal
82,@outrxmyg i supported them until after late 2016 cuz i was in denial of everything 😩 but yeah it was gross esp thos… https://t.co/0x1CrGHMab,1,4167,1,"warming,environment,fossil"
83,@Schrdin79008382 @IngersolRobert @Tangomitteckel @KSulza @Fauntleroy1934 @fcmfcs2019 @JoeTheAtheist @Ceist8… https://t.co/TNGKuHXbLX,2,1727,1,job
84,"@TheMichaelFight Thanks for entering Grand Summoners #yuyuhakusho #instantwin #sweepstakes 🎉

Watch the video to se… https://t.co/lJfhvUK7ji",3,36058,0,coal
85,"@Dzel_3_0 @TshedisoJunior South Africans who don't think they're better of the rest of Africa, South Africas who do… https://t.co/Xi7sI6WVSa",1,574,0,deal
86,Official account of GF-ACCORD #BigData powered #Global #BusinessConsulting. You did not know that #speed and… https://t.co/4jOIgeOfhA,2,11480,0,global
87,@CeeTwentyseven @RichardDawkins Factor in the value of black lives when formulating policies &amp; implementing. Create… https://t.co/vCBzd2CJbS,1,1,0,warming
88,Global Companies to Downsize Office Footprint https://t.co/Z0NwgWZsZK,2,157,0,global
89,"@DrJoannaT Or, access to translation (both ways), possibly provided by journals? Many research journals are not con… https://t.co/oyNver1VNO",2,2929,3,fossil
90,"""We have become a wasteful society, with consequences for the environment. Perhaps now is the time to make major ad… https://t.co/ZeAFX4TSp9",2,14170,78,"global,warming,deal,coal,environment"
91,@sheogohard @LukeChudoba If that's the case I need to step up my plans for the next global pandemic before someone… https://t.co/Mj6NUVTNnQ,2,314,2,"warming,environment,fossil,global"
92,"5/ So, if you are an innovative go-getter in Juba, think of how you can make cheap affordable copies of existing te… https://t.co/ICaZzcbHri",3,918,3,warming
93,Stoked for the opportunity today to share a couple presentations I’ve been working on. Definitely was a different e… https://t.co/Arm46soJ2m,3,15389,23,"global,warming,deal,coal"
94,@MiSquaredS @merlisa @petri808 @PalmerReport @afortini here’s a taste https://t.co/FIvguJctKr,2,57,1,"global,warming,deal,coal"
95,"4/6
' ... For such a large trading partner as Britain to 

recalibrate its global trading policy away from EU 

tow… https://t.co/ifMG9mn8tg",2,9,0,"global,warming,deal,coal"
96,@realDonaldTrump my guy deflector-in-chief here comparing protesters to a global pandemic that has killed like half… https://t.co/6z2W4aVXW9,1,225,0,"global,warming,deal,coal"
97,"@WhiteHouse @realDonaldTrump American atrocity.

Do not let this pass

117,853 lives lost to Covid, still counting.… https://t.co/b0B5VUbAjc",2,358,3,deal
98,"@Gammazing @jimashore @BBCNews “Like a 1000 years ago”, not a sensible response. European colonisation has huge rep… https://t.co/nRDtP4lErL",1,318,2,"global,warming,deal,coal"
99,Global Weekend Update https://t.co/YoTPeqPzeN Reviews a study attempting to predict COVID-19 death rates in differe… https://t.co/IJOV5c6sid,2,92,0,"global,warming,deal,coal"
100,Join us for our Superannuation Risk Symposium - delivered virtually this year. Known unknowns and unknown unknowns… https://t.co/xktZmoR71I,3,629,0,deal
101,"@_ReaalAmerican_ @Mallorysmammo @LevensonEdward Global warming, the next Caribbean",2,437,0,"global,warming"
102,"understood global relations... overthrowing duly elected govts in Libya and Egypt, starting a civil war in Syria, a… https://t.co/bj2X3hsWUl",2,1969,0,"global,warming,deal,coal"
103,How about a global spray across all continents with a bolus here in the USA? https://t.co/HazeW4ZPSx,2,2796,13,"global,warming,deal,coal"
104,Donald Trump &amp; CIA MUST Know Importance of God's Holy Land For Implementing God's Objective Holistic Frameworks For… https://t.co/6Kiue3Sbar,3,918,1,coal
105,Gross and Grabowski are not Poles. They are Polish-speaking Jews whose purpose is to authorize untruthful stories t… https://t.co/2HxMTaL1ef,1,354,37,fuel
106,@Reenactor1863 @cburns926 @PenPure1 @BostonGlobe Lincoln wanted to preserve the Union for sure just as the founders… https://t.co/isfBA38O9T,2,30,2,green
107,Recoup your well being by using rewarding work outs tips and hints https://t.co/KQLlxLfBVK,3,11051,0,warming
108,@BartIsThicc @KCON_Global well-,3,313,0,global
109,@xxhappyguyxx These past few weeks Twitter has had some unbelievable postings we could never of imagined 😔#covid… https://t.co/xeHhUEZVDg,1,281,0,"environment,coal"
110,@skaijackson Obama did that too. Trump is just Obama with no global appeal.,1,379,3,global
111,@Thatgir06915487 Sisters experience a swift and brutal crisis of faith in the midst of global calamity. Nimrod the… https://t.co/FmknmJWa6S,2,3577,1,"global,warming,deal,coal"
112,@BrenCasts Needing that feedback a live environment gives is a totally fair feeling... we’ll get back there soon en… https://t.co/kOUsR7YFvj,3,849,8,"global,warming,deal,coal,environment"
113,"Looking for Fortune 100 Company Risk, Legal, CFOs to participate on global business interruption panel. https://t.co/WnDxmKHAqK",2,6,0,"environment,global"
114,"After the Pandemic, a Global Hunger Crisis https://t.co/i93JcWtZR9",1,270,0,"global,warming,deal,coal"
115,"Two tiger cubs found dead in TATR buffer | Nagpur News -  (For global wildlife news, download WildTrails (Android &amp;… https://t.co/0g4xCiUIP4",2,873,0,"warming,global"
116,"Forest department rescues leopard | Coimbatore News -  (For global wildlife news, download WildTrails (Android &amp; iO… https://t.co/dugdEfCyz5",2,873,0,global
117,"Adult elephant found dead in reserve forest | Coimbatore News -  (For global wildlife news, download WildTrails (An… https://t.co/OmAaBg6RHV",1,873,0,"warming,global"
118,#Yemen is experiencing the worst humanitarian crisis in the world right now. It’s time to stop the flow of weapons… https://t.co/QkxI71QXdH,3,104,1,warming
119,"In the LONG tradition of OLD Arizona politicians, he crows over every square meter of valuable land he can steal fr… https://t.co/Jt8QIFe34P",1,1259,0,warming
120,"'Identifying birds is like a superpower' (For global wildlife news, download WildTrails (Android &amp; iOS)… https://t.co/yXwFUvOrRM",2,873,0,"global,warming,deal,coal"
121,"Servitors against use of machines, elephants to pull chariots | Bhubaneswar News -  (For global wildlife news, down… https://t.co/UEr81v9gLl",2,873,0,global
122,Hi Donnie...I’m still so excited about your big day. Sure the covers Stephen Miller and I got you were fantastic bu… https://t.co/atKrTAXxEN,3,4737,5,"warming,environment,fossil"
123,"“This Pride Month, amid the backdrop of the global coronavirus pandemic, we’re recognizing 12 LGBTQ people contribu… https://t.co/cbTvOq0N9T",2,66368,7,global
124,"Turkey ranked 150th among 163 countries in the Global Peace Index 2020, followed by North Korea. Turkey remains the… https://t.co/aLl2IidXcw",3,3,0,"warming,global"
125,Soulosaint gon be global one day,2,1990,11,global
126,@sfrantzman @morgfair The world's population faces a global pandemic and yet some still find time for bombs.,1,81,0,"global,warming,deal,coal"
127,@sadboysastro Global reversals,2,512,1,global
128,#Yemen is experiencing the worst humanitarian crisis in the world right now. It’s time to stop the flow of weapons… https://t.co/VmMZ4K3UFQ,3,55,0,warming
129,"2020 so far, starts with extreme wet and windy weather in UK, forest fires in Australia, then a global pandemic and… https://t.co/STELwOl5i0",2,133,0,"warming,global,deal,coal"
130,Do you what I think would be cool - if everyone got one free therapy session once lockdown is over so you can just… https://t.co/mCpdKYzH31,1,83,0,"warming,environment,fossil"
131,The Global Elites Are Calling It ‘The Great Reset’ And It Is Exactly What End Times Books And Movies Have Been Warn… https://t.co/dYCmI6nawl,3,1260,0,global
132,@almostablaze @RustyMerci @JoeGNJ1 @MBLeib @TJStJerome @Essau1969 @deolebear @ChrisNi15810094 @floydshambles… https://t.co/506kFRJGRa,2,635,9,deal
133,"Your business-at-home is reliant wholly on you, I most definitely will give you the this amazing gorgeous program t… https://t.co/1Objhh8whi",3,6854,0,"environment,warming,fossil"
134,"Exposing the Global Population Control Agenda

The Kissinger Report was declassified 1990.

Since 1974, The Report … https://t.co/V2KRvms0Gu",1,194,2,global
135,@nysutEVP A5: valuing primary source analysis is a great way to embed important works into the curriculum. A positi… https://t.co/MCzjJ3yuYN,3,50,6,"global,warming,deal,coal"
136,#Yemen is experiencing the worst humanitarian crisis in the world right now. It’s time to stop the flow of weapons… https://t.co/XcW9hSNWk5,3,251,1,warming
137,"@realDonaldTrump I try to feel sorry for you sometimes, but I just can't.
You've hurt far to many people and done f… https://t.co/KaIGsRnCTY",1,3132,1,"warming,environment,fossil"
138,"What does the Future Hold? 
Infographic for those curious about how humanity will be able to have children in the e… https://t.co/j0iuaZ9fvl",2,0,0,warming
139,Honestly I’m done worrying about it. Playing it smart but not gonna be hyper sensitive to it. Amazing how it went f… https://t.co/aKoIsmMafc,3,596,3,"environment,coal"
140,@CJTS7006 @Mscook721cook @GiannoCaldwell All states have poor.  Some choose to stay that way.  But red states have… https://t.co/t0L49ISpu9,1,10009,2,"global,deal,coal"
141,The thing about #ObamaDayUSA that everyone is missing is that we are on the verge of runaway climate change and we… https://t.co/RTYneByaXv,1,191,0,environment
142,"@MiruinaTwitch When it does happen again, presumably next year, you should go. It's always been a safe environment.… https://t.co/4cvC0blbGA",2,3457,2,"global,warming,deal,coal,environment"
143,@Protago78513375 The established record indicates that it jumped to humans from bats at an unregulated market. What… https://t.co/9k99Amau7I,3,778,0,environment
144,I most certainly will summarize options to make sure you loose obesity in the near future https://t.co/IOhPivUvEg,2,13484,0,"warming,environment,fossil"
145,@BangtanRoss7 10k increase in global FC membership just cause of bangbangcon 😲,2,335,2,"warming,global"
146,#Yemen is experiencing the worst humanitarian crisis in the world right now. It’s time to stop the flow of weapons… https://t.co/xThAksehxY,3,9,0,warming
147,".
GLOBAL… https://t.co/VwyqQj2kZI",2,832,1,global
148,"Covid-19 is awful, too many people have been ill and far too many have died. But it does provide the op for a compr… https://t.co/QUHecyOQk2",1,12,0,"global,warming,deal,coal"
149,@CZYxSnake Oh you mean a made made conspiracy global elites bill gates qanon blah blah blah,1,1697,0,"global,warming,deal,coal"
150,Unit4 build new partner model under Beata Wright https://t.co/D7galY6zWs #Channel #VAR @Unit4Global https://t.co/eT6TagMpio,2,682,5,global
151,"Miami, a stunning city to be considered for your Real Estate investments. Contact us now.  Looxo Global Real Estate… https://t.co/YP8gED7IZW",3,113,0,"global,warming,deal,coal"
152,"Every piece of carpet, furniture, tile, or any other construction material is connected to a certain amount of… https://t.co/hvronjYL7C",2,230,1,"global,warming,deal,coal"
153,hopefully…let’s see… great global dump is coming… https://t.co/fbmZdficAv #bitcoin,3,6404,1,global
154,@Mutchy2U @KetoSheep @MsAvaArmstrong Don’t be sad Shannon be strong and cautious. When you meet good folks be yours… https://t.co/WL4PV5WIK5,2,7863,1,environment
155,PAYPAL MESSAGE CENTER CHAT LOG GIMME Global Exposure Networking Business... https://t.co/lVtHBDlHHZ via @YouTube https://t.co/5pqY0G9S1n,2,1529,0,global
156,"On Sanity, Insanity, &amp; Activism … “The only sane response to an emergency is activism … &amp; the sanest response is he… https://t.co/o5756p9iu0",3,50553,0,environment
157,@Glassofwater420 @hennydeath @AttackSquid_ @ignacio_bastias @ChovanGavin @Dan_Beeton @Maskofshy @VRmaninJapan… https://t.co/7lHii7OFkp,2,78,0,deal
158,"@Naggwnigeria1 But this kind of big task will involve you recruiting.
Except @Naggwnigeria1 decides to make the rec… https://t.co/9LYxZSMF77",2,1654,0,"warming,environment"
159,In partnership with https://t.co/N96mfZz7GI operational pre-financing vehicle; Octopusrobots launches the prefinanc… https://t.co/4p5tGm92ZC,2,5746,1,warming
160,@jdangjackson WHO have to be mindful that their guidance has global relevance so it is the minimum that should be p… https://t.co/lJW02G1u0W,2,765,0,global
161,@BenWaterhouse3 @JenWilliamsMEN Dying is not the only risk. Healthier people are getting longterm effects. And ther… https://t.co/DkfP8NFLsW,0,977,0,deal
162,@MysticalMunchk1 @VeteransAlways_ @VdarknessF @realDonaldTrump @POTUS @SantaSurfing @malibuphoenix33 Nasara (nation… https://t.co/OUYySeiIMC,2,1759,0,"coal,deal"
163,@davidakin Erin O'Toole is what Canada needs. He will defeat the Global News supported Trudeau Government.,2,5,5,global
164,"Slowly warming my way into putting up content for Twitter 
We have pan fried salmon with roasted vegs and a lemon s… https://t.co/v7WInT0gaq",2,14,0,"warming,global,deal,coal"
165,"como lil baby, soy global",2,135,0,global
166,"Study: value of the world’s fossil fuel reserves could fall by two-thirds as #COVID19 crisis hastens peak oil, gas… https://t.co/u3xCZCgMx9",2,1515,6,"fossil,fuel"
167,@a6senpai Idk of you can control your ac but make your room cold grab as many blankets as you can and put them on t… https://t.co/YzusxKhvM2,1,18,1,environment
168,"https://t.co/2IiYjt3SIn Live warming up for the @MSFTQuantum competition :)

#QuantumComputing",2,927,18,warming
169,damn the littering after their picnic 😭😭 whatever about their knowledge of the environment you dont even feel embar… https://t.co/TH9gSYbCFG,2,1394,1,environment
170,#Iranian Influence in Iraq Is not a Threat to U.S. National Security https://t.co/IyWil8ZrnY,1,904,0,"warming,global,deal,coal"
171,Hey Twitter Sahel/West Africa people--what are some good reports/scholarship/analyses on the intersection of jihadi… https://t.co/XVXEv6okbY,3,2460,18,environment
172,Which European countries have opened their borders ahead of the summer holiday season? https://t.co/1cSKolCIRy,2,904,0,environment
173,#Iran Asks France to Analyze Ukraine Flight Black Boxes — Bourse &amp; Bazaar https://t.co/ho8e8Em0DQ,1,904,0,environment
174,#Iran Daily Virus Deaths Exceed 100 for First Time in 2 Months — Bourse &amp; Bazaar https://t.co/r0DDzzuHEc,1,904,0,warming
175,#Iran Agro Output Expected to Hit 128m Tons by March 2021 https://t.co/EhCZeQXuBH,2,904,0,"environment,job"
176,#Iran to Resume Int’l Flights https://t.co/H9jfRfM8zN,2,904,0,environment
177,Solar Orbiter: Europe's Sun mission makes first close pass: The UK-built Solar Orbiter will track by our star on Mo… https://t.co/Wu5ZkHglqq,3,8232,0,environment
178,experts react to plans to release 2 million fish into the Murray Darling https://t.co/mwQCOpNhdx,2,904,0,deal
179,Universities and government need to rethink their relationship with each other before it’s too late https://t.co/KPltZ6yKIT,2,904,0,environment
180,"Digital Transformation Consulting Provider Services Market Global Growth, Opportunities, Industry Analysis &amp; Foreca… https://t.co/udqSTfd6IC",2,2482,0,global
181,"Tonight at 11 on this week's Glenn Slingerland #Situation: Tame Impala, Steve Winwood, and Levin Minneman Rudess ar… https://t.co/uclS7NCLJB",1,425,6,environment
182,"Starting off with the defining launch title of the system is Breath of the Wild, an open world action adventure gam… https://t.co/zEYm5RMGzt",2,88,1,warming
183,Kill wasps society has surpassed the need for wasps. They are the most pointless and fun creature to exist all the… https://t.co/ccqRL95ezD,2,201,0,"global,deal,coal"
184,@AllyXU13 Try warming a spoon and putting it on one or banana peel,2,39,0,"warming,global,deal,coal,environment"
185,"Donald Trump &amp; CIA MUST Know REJECTING God's Superstate &amp; God's Objective Holistic Frameworks For Uniting, Integrat… https://t.co/aunY9Ru1zn",2,918,0,coal
186,#Yemen is experiencing the worst humanitarian crisis in the world right now. It’s time to stop the flow of weapons… https://t.co/rqM8y6wdAg,3,2978,0,warming
187,"@Trump_Toilet1 @dadank1 @w_terrence According to the World Meteorological Organization (WMO), the highest temperatu… https://t.co/KBPCjskMrN",2,4441,2,coal
188,@1800dogmom some kids need a v quiet sleeping environment so that would be pretty inconsiderate of him,2,170,1,"global,warming,deal,coal,environment"
189,@cubeoddity @cubefortwo @CulticCube My much lower power environment still has similar patterns... https://t.co/d8frZcKuEV,1,9,2,environment
190,@ErrolWebber Saying you support trump is saying you're fine with lying bullying racism killing MORE people with COV… https://t.co/RodKdWZrwe,2,4689,1,warming
191,@mmpadellan @ThatIsBadass1 That guy was a joke and did NOTHING POSITIVE for race relations. Your current President… https://t.co/jK24MUSdmC,1,72,0,"global,warming,deal,coal"
192,"It’s not as if I’m not used to being gaslit on a daily basis just like... in general, but the cognitive dissonance… https://t.co/Nxyv1MkUIF",1,451,2,"environment,global,warming,deal,coal"
193,"@simonahac @alexbhturnbull @OskaArcher @JohnDPMorgan @DrStephenT While we're on the issue of critical questions, ho… https://t.co/ravQp0yXUZ",2,1271,1,environment
194,Yeah it doesnt make sense got7 is a global group but why wont they treat them like so?,3,362,2,"global,warming,deal,coal"
